Name,Slug,Category,Reference to taxonomy,Definition,Evidence / Research,Source,Confidence,Potential value,Value type,Operational/ROI impact,Good example,Bad example,Enterprise insurance application,OGI user considerations,Potential metrics/signals,Checklist prompt,Number
Uppercase readability,uppercase-readability,Typography & readability,Typography & readability,"Uppercase readability is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies uppercase readability deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores uppercase readability, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate uppercase readability without unnecessary confusion, friction or risk?",77
Typography rhythm,typography-rhythm,Typography & readability,Typography & readability,"Typography rhythm is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies typography rhythm deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores typography rhythm, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate typography rhythm without unnecessary confusion, friction or risk?",78
Character spacing,character-spacing,Typography & readability,Typography & readability,"Character spacing is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies character spacing deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores character spacing, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate character spacing without unnecessary confusion, friction or risk?",79
Legibility,legibility,Typography & readability,Typography & readability,"Legibility is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies legibility deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores legibility, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate legibility without unnecessary confusion, friction or risk?",80
Reading speed,reading-speed,Typography & readability,Typography & readability,"Reading speed is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies reading speed deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores reading speed, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate reading speed without unnecessary confusion, friction or risk?",81
Plain English,plain-english,Typography & readability,Typography & readability,"Plain English is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies plain english deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores plain english, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate plain english without unnecessary confusion, friction or risk?",82
Terminology clarity,terminology-clarity,Typography & readability,Typography & readability,"Terminology clarity is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies terminology clarity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores terminology clarity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate terminology clarity without unnecessary confusion, friction or risk?",83
Microcopy clarity,microcopy-clarity,Typography & readability,Typography & readability,"Microcopy clarity is an experience quality consideration within typography & readability that affects how users understand, navigate or complete work.","Readable typography improves comprehension, reduces fatigue and supports faster scanning.",Readability and accessibility research,Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies microcopy clarity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores microcopy clarity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate microcopy clarity without unnecessary confusion, friction or risk?",84
Semantic colour systems,semantic-colour-systems,Colour theory & perception,Colour theory & perception,"Semantic colour systems is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies semantic colour systems deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores semantic colour systems, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate semantic colour systems without unnecessary confusion, friction or risk?",85
Status colour meaning,status-colour-meaning,Colour theory & perception,Colour theory & perception,"Status colour meaning is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies status colour meaning deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores status colour meaning, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate status colour meaning without unnecessary confusion, friction or risk?",86
Warning colour usage,warning-colour-usage,Colour theory & perception,Colour theory & perception,"Warning colour usage is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies warning colour usage deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores warning colour usage, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate warning colour usage without unnecessary confusion, friction or risk?",87
Colour blindness,colour-blindness,Colour theory & perception,Colour theory & perception,"Colour blindness is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies colour blindness deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores colour blindness, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate colour blindness without unnecessary confusion, friction or risk?",88
Accessible palettes,accessible-palettes,Colour theory & perception,Colour theory & perception,"Accessible palettes is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies accessible palettes deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores accessible palettes, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate accessible palettes without unnecessary confusion, friction or risk?",89
Dark mode contrast,dark-mode-contrast,Colour theory & perception,Colour theory & perception,"Dark mode contrast is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Warnings, statuses and data tables meet accessible contrast expectations and remain readable in all states.",Important underwriting warnings use faint grey text or colour-only cues.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate dark mode contrast without unnecessary confusion, friction or risk?",90
Saturation fatigue,saturation-fatigue,Colour theory & perception,Colour theory & perception,"Saturation fatigue is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies saturation fatigue deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores saturation fatigue, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate saturation fatigue without unnecessary confusion, friction or risk?",91
Trust perception,trust-perception,Colour theory & perception,Colour theory & perception,"Trust perception is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies trust perception deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores trust perception, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate trust perception without unnecessary confusion, friction or risk?",92
Contrast perception,contrast-perception,Colour theory & perception,Colour theory & perception,"Contrast perception is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Warnings, statuses and data tables meet accessible contrast expectations and remain readable in all states.",Important underwriting warnings use faint grey text or colour-only cues.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate contrast perception without unnecessary confusion, friction or risk?",93
Brand consistency,brand-consistency,Colour theory & perception,Colour theory & perception,"Brand consistency is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies brand consistency deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores brand consistency, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate brand consistency without unnecessary confusion, friction or risk?",94
Colour hierarchy,colour-hierarchy,Colour theory & perception,Colour theory & perception,"Colour hierarchy is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies colour hierarchy deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores colour hierarchy, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate colour hierarchy without unnecessary confusion, friction or risk?",95
Non-colour cues,non-colour-cues,Colour theory & perception,Colour theory & perception,"Non-colour cues is an experience quality consideration within colour theory & perception that affects how users understand, navigate or complete work.",Colour affects meaning and accessibility; semantic colour systems should not rely on colour alone.,"WCAG, WebAIM and visual perception research",High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies non-colour cues deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores non-colour cues, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate non-colour cues without unnecessary confusion, friction or risk?",96
Button hierarchy,button-hierarchy,Interaction design,Interaction design,"Button hierarchy is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies button hierarchy deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores button hierarchy, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate button hierarchy without unnecessary confusion, friction or risk?",97
Primary vs secondary actions,primary-vs-secondary-actions,Interaction design,Interaction design,"Primary vs secondary actions is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies primary vs secondary actions deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores primary vs secondary actions, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate primary vs secondary actions without unnecessary confusion, friction or risk?",98
Destructive action safety,destructive-action-safety,Interaction design,Interaction design,"Destructive action safety is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies destructive action safety deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores destructive action safety, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate destructive action safety without unnecessary confusion, friction or risk?",99
Modal interruption,modal-interruption,Interaction design,Interaction design,"Modal interruption is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies modal interruption deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores modal interruption, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate modal interruption without unnecessary confusion, friction or risk?",100
Hover dependency,hover-dependency,Interaction design,Interaction design,"Hover dependency is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies hover dependency deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores hover dependency, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate hover dependency without unnecessary confusion, friction or risk?",101
Loading states,loading-states,Interaction design,Interaction design,"Loading states is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies loading states deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores loading states, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate loading states without unnecessary confusion, friction or risk?",102
Microinteractions,microinteractions,Interaction design,Interaction design,"Microinteractions is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies microinteractions deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores microinteractions, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate microinteractions without unnecessary confusion, friction or risk?",103
Navigation placement,navigation-placement,Interaction design,Interaction design,"Navigation placement is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies navigation placement deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores navigation placement, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate navigation placement without unnecessary confusion, friction or risk?",104
Touch gestures,touch-gestures,Interaction design,Interaction design,"Touch gestures is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies touch gestures deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores touch gestures, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate touch gestures without unnecessary confusion, friction or risk?",105
Motion feedback,motion-feedback,Interaction design,Interaction design,"Motion feedback is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies motion feedback deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores motion feedback, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate motion feedback without unnecessary confusion, friction or risk?",106
Sticky actions,sticky-actions,Interaction design,Interaction design,"Sticky actions is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies sticky actions deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores sticky actions, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate sticky actions without unnecessary confusion, friction or risk?",107
Keyboard accelerators,keyboard-accelerators,Interaction design,Interaction design,"Keyboard accelerators is an experience quality consideration within interaction design that affects how users understand, navigate or complete work.","Predictable controls and feedback reduce hesitation, errors and repeated actions.",Interaction design and usability heuristics,Medium-High,"Fewer misclicks, clearer actions and safer workflows.",Operational Efficiency + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.",Power users can move through common servicing tasks using keyboard navigation and shortcuts.,"Every action requires mouse navigation through repeated menus, reducing speed and increasing fatigue.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate keyboard accelerators without unnecessary confusion, friction or risk?",108
